		
		
		
		
		
Page Name	Entity URL	Description
		
36 Oak & Barley	https://www.facebook.com/273370366063662	Set in the heart of Kemp’s  Corner, Mumbai, 36 Oak & Barley is dressed in a chic red wall, slick wood and brass  flooring with  hints of impactful accents: a stylish black jaguar  ready to leap at you from behind the Bar.  The vibe gets the better of you.    As you settle in and decide to order, you realize there's something in it for all. This all day dining space, offers a delectable menu  with a fresh perspective, its put gourmet into the simple dishes and made some of more complicated ones, very simple. The menu is a truly original concept especially since it offers comfort food , the basic and a bit more for some of the adventurous types.  The ethos is that each one should get what they want or simply, the next best thing and hence we don't have a specific cuisine. We take great pride in our simple dishes such as  the Akuri on  toast or a Chilli cheese toast with a twist.  You say take it to the next level and we say, Baked Asparagus & Cream Cheese Phyllo triangles with a Chive cream and cheese dip, or a local cheese fondue or or or the Shrimp and Calamari Ajillo with Ciabatta. You ask, but what about my waist ? And we say, hey, try the Salads or the Charcoal Grills or the Joggers Delight pizza or simply our yummy sandwiches in Brown bread. You say, but I don't feel like a sandwich, we say, well then try a Burger or a pasta. And you say, but I cant finish a burger, and we say, wait, there's 2 in a plate so you can mix and match and share.   Then you say, dazzle me, and we say Truffles with Macaroni and Cheese or the Ratatouille with Couscous or the Potato Rosti with Mushroom Fricassee for the veggies and Imported Basa Filet with Parsley Lemon Butter or the Barramundi Filet with Mustard Kasundi Cream for the non-veggies. YOU say U've had enough ... I need a break .. and we say, its then the Good old Custard and Jelly time.   These and all else on the menu have been perfected and served in a gourmet style with great emphasis being on not only the presentation and preparation but also on the freshness of ingredients used in each and every dish.   36 Oak & Barley boasts of a bar menu that fits all bills. Be it the tired mother in the day asking for a coffee to boost her spirit or a college student wanting to be adventurous and try a mocktail. In the evenings, the office employee wanting to soothe his nerves over a malt whiskey gets what he wants and so does his wife, her one glass of that International wine. Or the young neighborhood turk, trying the Anarkali Martini, recommended by the boyish bartenders. Oops, forgot to mention that famous Sangria that the young tourist is sipping whilst pouring over the internet connected to the free wi-fi offered.  You look around and you wonder, you may have as well been in New York. You need to calm your nerves, so maybe a cigarette may help. You turn to leave and voila, your gaze turns to a side alley, very subtly cleaned up, wherein you can smoke and not actually have to leave at all. A big advantage in today's hyper World.  But 36 Oak & Barley will keep pulling you back....
Cafe Coffee Day - Official	https://www.facebook.com/193926289498	
Café Coffee Day	https://www.facebook.com/112056598810736	Café Coffee Day is a division of India's largest coffee conglomerate, Amalgamated Bean Coffee Trading Company Ltd. (ABCTCL). ABCTCL grows coffee in its own estates of 10,000 acres (4047 ha). The land value of the plantations is US$250–300 million. It is the largest producer of Arabica beans in Asia. Apart from this, the group also sources coffee from 11,000 small growers. ABCTCL is one of India’s leading coffee exporters with clients across USA, Europe and Japan.LogoThe First Café Coffee Day logo a bright red cube with a green stroke above ‘e’ in ‘Café Coffee Day’. The word ‘Café’ was made to appear dominant to indicate Café Coffee Day’s introduction of ‘Café culture’ in India. The font used for ‘Café’ is called SLURRY – the font looks as though the letters have congealed or coagulated out of liquid. The current logo includes a dialogue box which highlights the connection between 'coffee' and 'conversations.' This logo also reflects their current tag line, "A lot can happen over coffee."The logo of CCD has been changed recently, this has been done in line with the increased competition and also for the proper conveying of the message that Café Coffee Day desires to tell to its customer. The famous Café Coffee Day squared logo has got a fresh new avatar – a ‘Dialogue Box’ - with the words Café Coffee Day written in a distinct, specially created font. The new trendy ‘dialogue’ logo symbolizes the essence of what a Café Coffee Day café is all really all about – a perfect place to ‘relax and dialogue.’ And as we all know, a lot does happen over coffee!Vertical integrationThe company is known for being vertically integrated to cut costs: from owning the plantations, growing the coffee, making the coffee machines to making the furniture for the outlets.The machines cost them 1.2 lakh each, which they say is half the cost of an imported coffee machine. The maintenance cost of CCD's machines is also less than foreign machines.
Cafe coffee day "CCD"	https://www.facebook.com/10150107961770527	
Dunn Bros Coffee	https://www.facebook.com/55878149333	
Cafe by the Beach	https://www.facebook.com/208810572533491	
Hải sản Gió Biển	https://www.facebook.com/359218634153002	Lẩu cua bể:  Lẩu cua bể mời gọi thực khách với những con cua bể khủng, nồi nước lẩu nhiều màu sắc, đĩa rau sống đa dạng và chén nước mắm chỉ gia giảm màu đỏ tươi của ớt.   Về cua, có ba cách trình bày và chế biến. Một là bày nguyên con cua còn sống, còn dây ràng; hai là chặt làm 4 rồi xếp ra đĩa; cuối cùng là nấu chín rồi cho hẳn vào nồi nước dùng. Mỗi cách trình bày mang đến những trải nghiệm khác nhau về ấn tượng, cách thưởng thức.  Song nếu nói về độ hấp dẫn thì nồi lẩu với càng, mai cua "khủng", đỏ au, nổi bật trên màu xanh của các loại rau cùng hương thơm thoang thoảng trong gió luôn có sức hút mạnh hơn màu xám đậm hay vẻ "dơ dơ, bẩn bẩn" của những con cua còn nguyên dây ràng.  Minh chứng cho nhận định này là dù quán vỉa hè, giá 5 sao nhưng lẩu cua bể trên đường Nguyễn Thị Nghĩa luôn trong tình trạng “cháy vé”. Tất nhiên ngoài lý do bắt mắt thực khách từ ban đầu, không thể không tính đến điểm cộng về độ tươi, ngon, chắc ngọt của cua, cảm nhận đủ vị về nước lẩu của quán.
Cafe Coffee Day - Official	https://www.facebook.com/193926289498	
Café Coffee Day	https://www.facebook.com/112056598810736	Café Coffee Day is a division of India's largest coffee conglomerate, Amalgamated Bean Coffee Trading Company Ltd. (ABCTCL). ABCTCL grows coffee in its own estates of 10,000 acres (4047 ha). The land value of the plantations is US$250–300 million. It is the largest producer of Arabica beans in Asia. Apart from this, the group also sources coffee from 11,000 small growers. ABCTCL is one of India’s leading coffee exporters with clients across USA, Europe and Japan.LogoThe First Café Coffee Day logo a bright red cube with a green stroke above ‘e’ in ‘Café Coffee Day’. The word ‘Café’ was made to appear dominant to indicate Café Coffee Day’s introduction of ‘Café culture’ in India. The font used for ‘Café’ is called SLURRY – the font looks as though the letters have congealed or coagulated out of liquid. The current logo includes a dialogue box which highlights the connection between 'coffee' and 'conversations.' This logo also reflects their current tag line, "A lot can happen over coffee."The logo of CCD has been changed recently, this has been done in line with the increased competition and also for the proper conveying of the message that Café Coffee Day desires to tell to its customer. The famous Café Coffee Day squared logo has got a fresh new avatar – a ‘Dialogue Box’ - with the words Café Coffee Day written in a distinct, specially created font. The new trendy ‘dialogue’ logo symbolizes the essence of what a Café Coffee Day café is all really all about – a perfect place to ‘relax and dialogue.’ And as we all know, a lot does happen over coffee!Vertical integrationThe company is known for being vertically integrated to cut costs: from owning the plantations, growing the coffee, making the coffee machines to making the furniture for the outlets.The machines cost them 1.2 lakh each, which they say is half the cost of an imported coffee machine. The maintenance cost of CCD's machines is also less than foreign machines.
